date,brand,views,carts,purchases,revenue,is_black_friday,ventana_corrupta
2019-10-01,apple,114701,4717.0,4018.0,3100410.0,0,0
2019-10-01,artel,3499,101.0,77.0,15084.0,0,0
2019-10-01,casio,9848,0.0,68.0,4222.0,0,0
2019-10-01,haier,1872,0.0,44.0,12565.0,0,0
2019-10-01,huawei,32481,950.0,694.0,158738.0,0,0
2019-10-01,lg,4149,63.0,76.0,36960.0,0,0
2019-10-01,nokia,5350,42.0,49.0,3460.0,0,0
2019-10-01,oppo,9955,302.0,208.0,44087.0,0,0
2019-10-01,samsung,116873,5583.0,4138.0,1167766.0,0,0
2019-10-01,sony,6065,34.0,46.0,9706.0,0,0
2019-10-01,vivo,4917,19.0,66.0,17307.0,0,0
2019-10-01,xiaomi,65401,1633.0,1164.0,214337.0,0,0
2019-10-02,apple,111473,4845.0,4000.0,3044826.0,0,0
2019-10-02,artel,3580,105.0,93.0,17520.0,0,0
2019-10-02,casio,9328,0.0,91.0,5569.0,0,0
2019-10-02,haier,1823,0.0,48.0,15532.0,0,0
2019-10-02,huawei,32766,1012.0,686.0,135729.0,0,0
2019-10-02,lg,4001,57.0,77.0,36053.0,0,0
2019-10-02,nokia,5082,75.0,66.0,5566.0,0,0
2019-10-02,oppo,9929,368.0,241.0,55367.0,0,0
2019-10-02,samsung,119208,5714.0,4335.0,1192683.0,0,0
2019-10-02,sony,5771,19.0,47.0,16309.0,0,0
2019-10-02,vivo,3569,47.0,67.0,15816.0,0,0
2019-10-02,xiaomi,66189,1716.0,1154.0,210738.0,0,0
2019-10-03,apple,110724,5371.0,3976.0,3037407.0,0,0
2019-10-03,artel,3117,105.0,77.0,15372.0,0,0
2019-10-03,casio,8225,0.0,101.0,7953.0,0,0
2019-10-03,haier,1753,1.0,43.0,10747.0,0,0
2019-10-03,huawei,32528,1081.0,689.0,140517.0,0,0
2019-10-03,lg,3613,78.0,70.0,31677.0,0,0
2019-10-03,nokia,5142,98.0,72.0,4315.0,0,0
2019-10-03,oppo,9885,424.0,271.0,63559.0,0,0
2019-10-03,samsung,117065,6428.0,4301.0,1168203.0,0,0
2019-10-03,sony,5583,37.0,62.0,24364.0,0,0
2019-10-03,vivo,2670,40.0,50.0,11672.0,0,0
2019-10-03,xiaomi,63977,1751.0,1143.0,209898.0,0,0
2019-10-04,apple,138839,10390.0,5380.0,4106628.0,0,0
2019-10-04,artel,5218,265.0,119.0,24919.0,0,0
2019-10-04,casio,8097,0.0,77.0,7739.0,0,0
2019-10-04,haier,1982,1.0,48.0,11953.0,0,0
2019-10-04,huawei,35763,1830.0,880.0,203881.0,0,0
2019-10-04,lg,5756,286.0,124.0,66563.0,0,0
2019-10-04,nokia,5094,127.0,77.0,5092.0,0,0
2019-10-04,oppo,11210,876.0,383.0,85075.0,0,0
2019-10-04,samsung,139764,12548.0,5768.0,1555044.0,0,0
2019-10-04,sony,6945,183.0,83.0,27560.0,0,0
2019-10-04,vivo,4806,316.0,133.0,31683.0,0,0
2019-10-04,xiaomi,75446,3651.0,1560.0,281116.0,0,0
2019-10-05,apple,124972,8343.0,4466.0,3441546.0,0,0
2019-10-05,artel,4307,223.0,92.0,17293.0,0,0
2019-10-05,casio,8222,0.0,78.0,5163.0,0,0
2019-10-05,haier,1954,0.0,48.0,12894.0,0,0
2019-10-05,huawei,32875,1738.0,788.0,169660.0,0,0
2019-10-05,lg,5133,190.0,96.0,42822.0,0,0
2019-10-05,nokia,4626,114.0,63.0,5594.0,0,0
2019-10-05,oppo,10596,838.0,383.0,88190.0,0,0
2019-10-05,samsung,125047,9797.0,4847.0,1316019.0,0,0
2019-10-05,sony,6749,124.0,71.0,18376.0,0,0
2019-10-05,vivo,4222,293.0,139.0,32302.0,0,0
2019-10-05,xiaomi,70169,3103.0,1456.0,265332.0,0,0
2019-10-06,apple,124388,7140.0,4095.0,3047877.0,0,0
2019-10-06,artel,4409,208.0,83.0,15022.0,0,0
2019-10-06,casio,8838,0.0,104.0,7735.0,0,0
2019-10-06,haier,1976,1.0,58.0,16389.0,0,0
2019-10-06,huawei,33051,1620.0,755.0,161278.0,0,0
2019-10-06,lg,4838,185.0,69.0,33525.0,0,0
2019-10-06,nokia,4966,141.0,73.0,6654.0,0,0
2019-10-06,oppo,10065,651.0,289.0,63831.0,0,0
2019-10-06,samsung,124131,9495.0,4751.0,1292371.0,0,0
2019-10-06,sony,6134,127.0,78.0,24891.0,0,0
2019-10-06,vivo,3816,256.0,125.0,29122.0,0,0
2019-10-06,xiaomi,70380,2963.0,1414.0,251475.0,0,0
2019-10-07,apple,106487,4442.0,3889.0,2896953.0,0,0
2019-10-07,artel,3796,144.0,109.0,19487.0,0,0
2019-10-07,casio,8361,0.0,83.0,6852.0,0,0
2019-10-07,haier,1645,0.0,43.0,10339.0,0,0
2019-10-07,huawei,30522,938.0,705.0,145356.0,0,0
2019-10-07,lg,3950,44.0,61.0,29329.0,0,0
2019-10-07,nokia,5007,74.0,64.0,4874.0,0,0
2019-10-07,oppo,9430,339.0,242.0,53600.0,0,0
2019-10-07,samsung,112766,6281.0,4585.0,1228141.0,0,0
2019-10-07,sony,5461,29.0,69.0,21828.0,0,0
2019-10-07,vivo,3363,60.0,65.0,16065.0,0,0
2019-10-07,xiaomi,67689,1837.0,1291.0,240505.0,0,0
2019-10-08,apple,105835,4498.0,4140.0,3231449.0,0,0
2019-10-08,artel,3967,112.0,88.0,15511.0,0,0
2019-10-08,casio,9507,5.0,107.0,9490.0,0,0
2019-10-08,haier,1855,0.0,38.0,9556.0,0,0
2019-10-08,huawei,30970,957.0,653.0,136425.0,0,0
2019-10-08,lg,3840,47.0,57.0,28145.0,0,0
2019-10-08,nokia,4992,73.0,77.0,5945.0,0,0
2019-10-08,oppo,9903,434.0,254.0,54731.0,0,0
2019-10-08,samsung,116313,6121.0,4744.0,1276527.0,0,0
