macro_category,units,reached_cart,purchased,revenue,revenue_en_juego,cart_rate,conv_rate,cierre_pct,abandono_pct,ticket_medio
electronics,20028397,1186155,716369,294805911.0,187071899.0,5.92,3.58,60.39,39.61,411.53
medicine,15626,995,515,23003.0,21860.0,6.37,3.3,51.76,48.24,44.67
stationery,10617,588,280,4578.0,5213.0,5.54,2.64,47.62,52.38,16.35
appliances,5942678,218766,125918,22028318.0,17321757.0,3.68,2.12,57.56,42.44,174.94
computers,3199246,81847,47057,18719589.0,13471572.0,2.56,1.47,57.49,42.51,397.81
auto,1163866,27447,16605,2004995.0,1336092.0,2.36,1.43,60.5,39.5,120.75
construction,888384,23706,12489,1476597.0,1333415.0,2.67,1.41,52.68,47.32,118.23
kids,781644,15977,9440,1084952.0,689503.0,2.04,1.21,59.08,40.92,114.93
sport,225550,3742,1994,505509.0,473835.0,1.66,0.88,53.29,46.71,253.52
furniture,1796580,22417,13991,2802036.0,1688231.0,1.25,0.78,62.41,37.59,200.27
accessories,393447,5136,2934,123558.0,94503.0,1.31,0.75,57.13,42.87,42.11
country_yard,16475,187,99,20257.0,19355.0,1.14,0.6,52.94,47.06,204.62
apparel,2881444,29685,16827,1341734.0,1038273.0,1.03,0.58,56.69,43.31,79.74
