day_of_week,session_hour,day_name,is_weekend,n_sesiones,n_compras,conv_x100
1,0,1-Dom,1,14274,534,3.741
1,1,1-Dom,1,27859,1012,3.633
1,2,1-Dom,1,54235,2359,4.35
1,3,1-Dom,1,85070,4963,5.834
1,4,1-Dom,1,113275,7652,6.755
1,5,1-Dom,1,126488,9565,7.562
1,6,1-Dom,1,133902,10065,7.517
1,7,1-Dom,1,141383,10741,7.597
1,8,1-Dom,1,143502,10819,7.539
1,9,1-Dom,1,143498,10904,7.599
1,10,1-Dom,1,140893,10349,7.345
1,11,1-Dom,1,134535,9431,7.01
1,12,1-Dom,1,131704,8334,6.328
1,13,1-Dom,1,139436,7707,5.527
1,14,1-Dom,1,146373,7279,4.973
1,15,1-Dom,1,146922,6898,4.695
1,16,1-Dom,1,143255,6653,4.644
1,17,1-Dom,1,134379,6030,4.487
1,18,1-Dom,1,100948,4680,4.636
1,19,1-Dom,1,63136,3310,5.243
1,20,1-Dom,1,35581,1912,5.374
1,21,1-Dom,1,20270,1256,6.196
1,22,1-Dom,1,12170,698,5.735
1,23,1-Dom,1,10995,530,4.82
2,0,2-Lun,0,22044,686,3.112
2,1,2-Lun,0,45647,1461,3.201
2,2,2-Lun,0,81388,3411,4.191
2,3,2-Lun,0,119556,7234,6.051
2,4,2-Lun,0,147682,9993,6.767
2,5,2-Lun,0,164058,11455,6.982
2,6,2-Lun,0,170599,11979,7.022
2,7,2-Lun,0,167662,11780,7.026
2,8,2-Lun,0,170232,12498,7.342
2,9,2-Lun,0,173136,12711,7.342
2,10,2-Lun,0,165841,11979,7.223
2,11,2-Lun,0,157000,10789,6.872
2,12,2-Lun,0,155670,9672,6.213
2,13,2-Lun,0,167041,9245,5.535
2,14,2-Lun,0,187913,9124,4.855
2,15,2-Lun,0,199349,9032,4.531
2,16,2-Lun,0,190033,8233,4.332
2,17,2-Lun,0,160927,6762,4.202
2,18,2-Lun,0,118447,5343,4.511
2,19,2-Lun,0,69883,3377,4.832
2,20,2-Lun,0,36428,1899,5.213
2,21,2-Lun,0,20962,1218,5.811
2,22,2-Lun,0,13709,722,5.267
2,23,2-Lun,0,12194,564,4.625
3,0,3-Mar,0,20540,665,3.238
3,1,3-Mar,0,39847,1310,3.288
3,2,3-Mar,0,80084,3676,4.59
3,3,3-Mar,0,121128,7660,6.324
3,4,3-Mar,0,151660,10247,6.757
3,5,3-Mar,0,170663,11911,6.979
3,6,3-Mar,0,183297,12546,6.845
3,7,3-Mar,0,188398,13294,7.056
3,8,3-Mar,0,195608,13840,7.075
3,9,3-Mar,0,188705,12936,6.855
3,10,3-Mar,0,180577,11853,6.564
3,11,3-Mar,0,176499,10801,6.12
3,12,3-Mar,0,173815,9772,5.622
3,13,3-Mar,0,190337,9507,4.995
3,14,3-Mar,0,203747,9327,4.578
3,15,3-Mar,0,214111,9643,4.504
3,16,3-Mar,0,206330,8790,4.26
3,17,3-Mar,0,170548,7231,4.24
3,18,3-Mar,0,127499,5632,4.417
3,19,3-Mar,0,75822,3589,4.733
3,20,3-Mar,0,38745,2074,5.353
3,21,3-Mar,0,22835,1329,5.82
3,22,3-Mar,0,14735,786,5.334
3,23,3-Mar,0,13092,638,4.873
4,0,4-Mie,0,20845,672,3.224
4,1,4-Mie,0,42485,1488,3.502
4,2,4-Mie,0,83685,3689,4.408
4,3,4-Mie,0,121075,7592,6.27
4,4,4-Mie,0,152704,10296,6.742
4,5,4-Mie,0,169429,11772,6.948
4,6,4-Mie,0,181977,12806,7.037
4,7,4-Mie,0,184417,13067,7.086
4,8,4-Mie,0,188961,13452,7.119
4,9,4-Mie,0,185899,13654,7.345
4,10,4-Mie,0,180811,12597,6.967
4,11,4-Mie,0,171464,11336,6.611
4,12,4-Mie,0,169965,10704,6.298
4,13,4-Mie,0,184115,10106,5.489
4,14,4-Mie,0,197972,9741,4.92
4,15,4-Mie,0,210521,9782,4.647
4,16,4-Mie,0,201658,8842,4.385
4,17,4-Mie,0,172198,7433,4.317
4,18,4-Mie,0,127989,5561,4.345
4,19,4-Mie,0,74876,3697,4.937
4,20,4-Mie,0,40838,2205,5.399
4,21,4-Mie,0,23492,1369,5.828
4,22,4-Mie,0,15065,922,6.12
4,23,4-Mie,0,12702,586,4.613
5,0,5-Jue,0,19925,760,3.814
5,1,5-Jue,0,35448,1308,3.69
5,2,5-Jue,0,71126,3495,4.914
5,3,5-Jue,0,101554,6973,6.866
5,4,5-Jue,0,128107,9281,7.245
5,5,5-Jue,0,137608,10288,7.476
5,6,5-Jue,0,147860,11390,7.703
5,7,5-Jue,0,153116,11296,7.377
5,8,5-Jue,0,167070,11943,7.149
5,9,5-Jue,0,153283,11451,7.47
5,10,5-Jue,0,148041,10587,7.151
5,11,5-Jue,0,143226,9696,6.77
5,12,5-Jue,0,140815,8369,5.943
5,13,5-Jue,0,155257,8395,5.407
5,14,5-Jue,0,171470,8514,4.965
5,15,5-Jue,0,174653,8368,4.791
5,16,5-Jue,0,166483,7502,4.506
5,17,5-Jue,0,142367,6402,4.497
5,18,5-Jue,0,116330,5289,4.547
5,19,5-Jue,0,67178,3563,5.304
5,20,5-Jue,0,36409,2041,5.606
5,21,5-Jue,0,20777,1341,6.454
5,22,5-Jue,0,13743,895,6.512
5,23,5-Jue,0,11938,666,5.579
6,0,6-Vie,0,20805,804,3.864
6,1,6-Vie,0,34335,1337,3.894
6,2,6-Vie,0,72953,3659,5.016
6,3,6-Vie,0,115459,7652,6.627
