brand,carritos,comprados,ticket,abandonados,abandono_pct
samsung,437406,272390,229.38,165016,37.7
apple,375345,234299,745.4,141046,37.6
xiaomi,151143,78488,189.97,72655,48.1
huawei,62723,37045,166.1,25678,40.9
oppo,31915,19703,179.64,12212,38.3
artel,10733,6045,152.85,4688,43.7
lg,8807,4741,437.07,4066,46.2
sony,7305,3737,308.37,3568,48.8
nokia,7583,4111,56.55,3472,45.8
jbl,5657,3202,33.21,2455,43.4
haier,5818,3508,231.64,2310,39.7
casio,6813,4760,59.2,2053,30.1
vivo,4965,3046,231.64,1919,38.7
meizu,4751,3060,101.62,1691,35.6
kivi,3756,2359,192.93,1397,37.2
elari,2778,1492,62.91,1286,46.3
prestigio,3097,1889,50.68,1208,39.0
tcl,2481,1470,237.59,1011,40.7
texet,2074,1078,19.31,996,48.0
bq,1928,973,48.65,955,49.5
panasonic,1798,852,32.69,946,52.6
honor,1858,1031,231.64,827,44.5
philips,1376,693,295.99,683,49.6
wonlex,1140,618,33.46,522,45.8
oneplus,1297,801,735.87,496,38.2
yasin,1446,950,204.61,496,34.3
lenovo,1009,556,115.81,453,44.9
yamaha,1022,626,159.97,396,38.7
inoi,814,426,46.05,388,47.7
harper,1045,660,25.71,385,36.8
garmin,837,458,334.63,379,45.3
pioneer,1049,693,58.68,356,33.9
plantronics,725,369,31.62,356,49.1
aimoto,843,497,54.05,346,41.0
cortland,691,363,90.05,328,47.5
changhong,735,441,166.54,294,40.0
ritmix,467,188,6.34,279,59.7
canyon,633,357,63.06,276,43.6
marshall,606,331,74.62,275,45.4
element,800,531,131.25,269,33.6
jinga,505,237,8.47,268,53.1
hyperx,458,213,89.81,245,53.5
sven,493,252,23.42,241,48.9
arg,583,343,282.46,240,41.2
tp-link,841,613,94.98,228,27.1
jet,474,258,33.44,216,45.6
gopro,398,190,437.33,208,52.3
fly,476,269,15.26,207,43.5
kicx,693,487,32.18,206,29.7
defender,382,182,10.2,200,52.4
kingston,344,154,61.48,190,55.2
maxvi,357,180,9.01,177,49.6
zte,432,258,77.2,174,40.3
orient,595,422,133.82,173,29.1
blaupunkt,261,96,231.64,165,63.2
huion,294,131,96.51,163,55.4
wacom,303,147,115.58,156,51.5
toshiba,351,203,437.31,148,42.2
denn,259,119,36.01,140,54.1
trust,266,132,19.02,134,50.4
shivaki,287,154,154.96,133,46.3
awei,285,161,15.42,124,43.5
hisense,253,134,591.78,119,47.0
ergo,216,97,380.7,119,55.1
hoco,256,142,23.14,114,44.5
doogee,243,129,109.55,114,46.9
elenberg,292,182,246.6,110,37.7
horizont,199,94,205.64,105,52.8
pride,381,276,114.55,105,27.6
tissot,365,261,396.41,104,28.5
sjcam,158,59,85.52,99,62.7
umi,215,118,463.31,97,45.1
epson,154,60,455.33,94,61.0
fender,217,125,180.96,92,42.4
redragon,165,77,14.65,88,53.3
olmio,297,210,47.47,87,29.3
phantom,193,111,15.44,82,42.5
sennheiser,164,85,27.8,79,48.2
stagg,239,160,115.83,79,33.1
irbis,216,138,100.39,78,36.1
htc,138,64,102.94,74,53.6
jvc,201,127,38.61,74,36.8
olto,177,103,5.12,74,41.8
alphard,327,255,74.54,72,22.0
hertz,274,203,90.98,71,25.9
jabra,142,72,24.26,70,49.3
edge,361,292,167.31,69,19.1
acer,131,62,76.94,69,52.7
boccia,190,122,113.26,68,35.8
canon,173,109,410.78,64,37.0
armani,264,204,248.14,60,22.7
tecno,221,162,110.43,59,26.7
acme,127,68,46.08,59,46.5
beats,121,62,257.38,59,48.8
mykronoz,133,74,60.22,59,44.4
m-audio,177,118,127.39,59,33.3
kenwood,168,111,47.66,57,33.9
xp-pen,132,76,76.96,56,42.4
danielklein,141,86,39.38,55,39.0
alpine,220,173,151.87,47,21.4
nexttab,136,91,47.86,45,33.1
fossil,132,90,180.18,42,31.8
alesis,133,99,146.95,34,25.6
mystery,137,103,133.85,34,24.8
rebus,106,72,179.92,34,32.1
vestel,101,74,321.73,27,26.7
usams,131,113,48.24,18,13.7
