date,hour,views,carts,purchases,revenue,is_black_friday,ventana_corrupta
2019-10-01,0,1070,3.0,10.0,2388.0,0,0
2019-10-01,1,121,0.0,0.0,0.0,0,0
2019-10-01,2,22297,242.0,316.0,85534.0,0,0
2019-10-01,3,47888,612.0,845.0,252050.0,0,0
2019-10-01,4,53324,831.0,1021.0,316665.0,0,0
2019-10-01,5,61147,1071.0,1276.0,404252.0,0,0
2019-10-01,6,63635,1099.0,1392.0,419255.0,0,0
2019-10-01,7,68476,1156.0,1409.0,446426.0,0,0
2019-10-01,8,70645,1315.0,1464.0,489228.0,0,0
2019-10-01,9,68370,1316.0,1478.0,504074.0,0,0
2019-10-01,10,63369,1121.0,1339.0,473258.0,0,0
2019-10-01,11,62052,975.0,1204.0,376913.0,0,0
2019-10-01,12,60690,1043.0,1119.0,394438.0,0,0
2019-10-01,13,64619,935.0,1055.0,354671.0,0,0
2019-10-01,14,76768,865.0,1017.0,320171.0,0,0
2019-10-01,15,91307,848.0,985.0,288232.0,0,0
2019-10-01,16,97221,804.0,961.0,320259.0,0,0
2019-10-01,17,84368,718.0,803.0,247675.0,0,0
2019-10-01,18,62301,481.0,608.0,220147.0,0,0
2019-10-01,19,39693,328.0,422.0,151567.0,0,0
2019-10-01,20,20458,179.0,251.0,89417.0,0,0
2019-10-01,21,12756,122.0,164.0,63449.0,0,0
2019-10-01,22,7335,81.0,102.0,33872.0,0,0
2019-10-01,23,6178,48.0,64.0,21636.0,0,0
2019-10-02,0,9948,72.0,94.0,31017.0,0,0
2019-10-02,1,19029,134.0,183.0,58747.0,0,0
2019-10-02,2,32277,328.0,425.0,112035.0,0,0
2019-10-02,3,43062,649.0,824.0,227935.0,0,0
2019-10-02,4,53724,829.0,1115.0,319197.0,0,0
2019-10-02,5,58726,1031.0,1315.0,423417.0,0,0
2019-10-02,6,62934,1196.0,1458.0,481744.0,0,0
2019-10-02,7,62977,1153.0,1330.0,414792.0,0,0
2019-10-02,8,64436,1222.0,1320.0,405222.0,0,0
2019-10-02,9,65483,1321.0,1588.0,525104.0,0,0
2019-10-02,10,61880,1308.0,1467.0,492673.0,0,0
2019-10-02,11,55554,988.0,1164.0,371083.0,0,0
2019-10-02,12,54850,998.0,1062.0,369725.0,0,0
2019-10-02,13,60852,979.0,923.0,321424.0,0,0
2019-10-02,14,73318,878.0,971.0,305396.0,0,0
2019-10-02,15,83262,843.0,1023.0,302245.0,0,0
2019-10-02,16,86259,884.0,919.0,268879.0,0,0
2019-10-02,17,75931,712.0,844.0,280257.0,0,0
2019-10-02,18,54206,509.0,517.0,168028.0,0,0
2019-10-02,19,32419,381.0,430.0,158346.0,0,0
2019-10-02,20,18266,182.0,193.0,78567.0,0,0
2019-10-02,21,10845,114.0,152.0,46003.0,0,0
2019-10-02,22,6747,99.0,89.0,30547.0,0,0
2019-10-02,23,5707,61.0,63.0,21244.0,0,0
2019-10-03,0,8858,89.0,98.0,28466.0,0,0
2019-10-03,1,10657,111.0,113.0,34686.0,0,0
2019-10-03,2,28959,370.0,428.0,115456.0,0,0
2019-10-03,3,40623,671.0,879.0,270883.0,0,0
2019-10-03,4,49436,943.0,1070.0,326560.0,0,0
2019-10-03,5,53601,1039.0,1187.0,390376.0,0,0
2019-10-03,6,56692,1180.0,1357.0,435371.0,0,0
2019-10-03,7,57091,1236.0,1273.0,409478.0,0,0
2019-10-03,8,59319,1272.0,1470.0,464510.0,0,0
2019-10-03,9,57348,1340.0,1459.0,479098.0,0,0
2019-10-03,10,54584,1180.0,1303.0,425026.0,0,0
2019-10-03,11,52909,1035.0,1179.0,384549.0,0,0
2019-10-03,12,51419,974.0,983.0,313432.0,0,0
2019-10-03,13,55552,869.0,973.0,318456.0,0,0
2019-10-03,14,66156,854.0,897.0,283279.0,0,0
2019-10-03,15,81896,868.0,954.0,308106.0,0,0
2019-10-03,16,84431,864.0,806.0,265772.0,0,0
2019-10-03,17,74980,639.0,780.0,255335.0,0,0
2019-10-03,18,59638,1277.0,806.0,272356.0,0,0
2019-10-03,19,37718,842.0,516.0,184430.0,0,0
2019-10-03,20,19691,463.0,311.0,107047.0,0,0
2019-10-03,21,11722,257.0,179.0,79585.0,0,0
2019-10-03,22,7683,166.0,109.0,43736.0,0,0
2019-10-03,23,6351,163.0,125.0,37791.0,0,0
2019-10-04,0,9999,241.0,118.0,35890.0,0,0
2019-10-04,1,19649,432.0,274.0,82876.0,0,0
2019-10-04,2,27405,871.0,515.0,147835.0,0,0
2019-10-04,3,52401,1670.0,1136.0,317820.0,0,0
2019-10-04,4,60957,2129.0,1440.0,404246.0,0,0
2019-10-04,5,65461,2277.0,1620.0,475853.0,0,0
2019-10-04,6,64157,2324.0,1666.0,542210.0,0,0
2019-10-04,7,68023,2236.0,1664.0,490126.0,0,0
2019-10-04,8,70778,2704.0,1837.0,565764.0,0,0
2019-10-04,9,78654,3287.0,2128.0,753127.0,0,0
2019-10-04,10,78082,3108.0,1978.0,659098.0,0,0
2019-10-04,11,75898,3123.0,1906.0,649372.0,0,0
2019-10-04,12,75099,3136.0,1797.0,591274.0,0,0
2019-10-04,13,84153,3115.0,1790.0,610390.0,0,0
2019-10-04,14,87537,2512.0,1406.0,482975.0,0,0
2019-10-04,15,92004,2235.0,1302.0,394358.0,0,0
2019-10-04,16,95068,2192.0,1260.0,381647.0,0,0
2019-10-04,17,85104,1859.0,1078.0,348798.0,0,0
2019-10-04,18,61134,1199.0,761.0,228435.0,0,0
2019-10-04,19,40768,889.0,589.0,194160.0,0,0
2019-10-04,20,23935,521.0,336.0,103890.0,0,0
2019-10-04,21,13105,286.0,216.0,74750.0,0,0
2019-10-04,22,8392,183.0,120.0,40968.0,0,0
2019-10-04,23,6964,125.0,102.0,47196.0,0,0
2019-10-05,0,9936,162.0,118.0,38604.0,0,0
2019-10-05,1,19927,391.0,241.0,77085.0,0,0
2019-10-05,2,36155,769.0,452.0,125148.0,0,0
2019-10-05,3,48414,1449.0,968.0,284129.0,0,0
2019-10-05,4,58680,2017.0,1443.0,438130.0,0,0
2019-10-05,5,63416,2358.0,1531.0,469609.0,0,0
2019-10-05,6,66834,2390.0,1648.0,537750.0,0,0
2019-10-05,7,69058,2554.0,1854.0,557935.0,0,0
2019-10-05,8,69667,2602.0,1799.0,583584.0,0,0
2019-10-05,9,67907,2447.0,1729.0,544898.0,0,0
2019-10-05,10,67530,2222.0,1629.0,515545.0,0,0
2019-10-05,11,64863,2222.0,1442.0,479609.0,0,0
2019-10-05,12,63467,1838.0,1266.0,419567.0,0,0
2019-10-05,13,66620,1684.0,1136.0,372014.0,0,0
2019-10-05,14,75608,1781.0,1107.0,346542.0,0,0
2019-10-05,15,83388,1540.0,1028.0,269902.0,0,0
2019-10-05,16,88486,1606.0,1014.0,299913.0,0,0
2019-10-05,17,82599,1437.0,963.0,288347.0,0,0
2019-10-05,18,63431,1245.0,785.0,241573.0,0,0
2019-10-05,19,43595,755.0,507.0,167859.0,0,0
2019-10-05,20,27213,527.0,384.0,138045.0,0,0
2019-10-05,21,16033,273.0,226.0,64024.0,0,0
2019-10-05,22,9796,160.0,145.0,57291.0,0,0
2019-10-05,23,7367,131.0,77.0,23993.0,0,0
2019-10-06,0,8985,88.0,74.0,25535.0,0,0
2019-10-06,1,18039,255.0,161.0,38991.0,0,0
2019-10-06,2,31937,511.0,384.0,98472.0,0,0
2019-10-06,3,38941,1037.0,696.0,202903.0,0,0
2019-10-06,4,56884,1619.0,1155.0,346452.0,0,0
2019-10-06,5,63854,2141.0,1520.0,429250.0,0,0
2019-10-06,6,71895,2363.0,1552.0,462305.0,0,0
2019-10-06,7,71561,2402.0,1675.0,508308.0,0,0
2019-10-06,8,70689,2417.0,1698.0,508115.0,0,0
2019-10-06,9,70531,2462.0,1701.0,526914.0,0,0
2019-10-06,10,68250,2346.0,1606.0,505010.0,0,0
2019-10-06,11,67228,2140.0,1520.0,465560.0,0,0
2019-10-06,12,66778,2005.0,1366.0,425426.0,0,0
2019-10-06,13,67132,1550.0,1084.0,334136.0,0,0
2019-10-06,14,76330,1749.0,1029.0,343230.0,0,0
2019-10-06,15,84531,1697.0,1128.0,323340.0,0,0
2019-10-06,16,93733,1569.0,1137.0,317124.0,0,0
2019-10-06,17,84177,1325.0,919.0,277347.0,0,0
2019-10-06,18,63594,549.0,686.0,220077.0,0,0
2019-10-06,19,38465,344.0,463.0,155295.0,0,0
2019-10-06,20,21551,161.0,233.0,68023.0,0,0
2019-10-06,21,13537,118.0,180.0,72754.0,0,0
2019-10-06,22,7771,79.0,101.0,42675.0,0,0
2019-10-06,23,6538,66.0,101.0,40015.0,0,0
2019-10-07,0,9102,58.0,103.0,33385.0,0,0
2019-10-07,1,18215,144.0,184.0,53579.0,0,0
2019-10-07,2,30774,304.0,394.0,118562.0,0,0
2019-10-07,3,43585,675.0,841.0,233807.0,0,0
2019-10-07,4,52596,948.0,1273.0,347668.0,0,0
2019-10-07,5,56964,1251.0,1361.0,411686.0,0,0
2019-10-07,6,58805,1271.0,1469.0,444843.0,0,0
2019-10-07,7,61752,1326.0,1603.0,485393.0,0,0
2019-10-07,8,63943,1258.0,1590.0,455787.0,0,0
2019-10-07,9,62715,1283.0,1639.0,510091.0,0,0
2019-10-07,10,61100,1228.0,1514.0,451752.0,0,0
2019-10-07,11,57636,1058.0,1382.0,410542.0,0,0
2019-10-07,12,54304,1026.0,1172.0,354722.0,0,0
2019-10-07,13,61852,943.0,1153.0,331879.0,0,0
2019-10-07,14,74226,969.0,1026.0,288921.0,0,0
2019-10-07,15,88118,963.0,1110.0,318255.0,0,0
2019-10-07,16,88702,892.0,1010.0,278122.0,0,0
2019-10-07,17,77659,682.0,870.0,267852.0,0,0
2019-10-07,18,58483,544.0,687.0,200868.0,0,0
2019-10-07,19,36939,324.0,418.0,139790.0,0,0
2019-10-07,20,19040,222.0,277.0,110218.0,0,0
2019-10-07,21,9873,86.0,141.0,48669.0,0,0
2019-10-07,22,6674,62.0,79.0,29867.0,0,0
2019-10-07,23,6133,53.0,82.0,21930.0,0,0
2019-10-08,0,8940,50.0,64.0,20414.0,0,0
2019-10-08,1,19645,169.0,205.0,46824.0,0,0
2019-10-08,2,32953,317.0,493.0,134288.0,0,0
2019-10-08,3,44244,795.0,919.0,287418.0,0,0
2019-10-08,4,54537,969.0,1255.0,371982.0,0,0
2019-10-08,5,66089,1059.0,1507.0,425982.0,0,0
2019-10-08,6,73074,1248.0,1615.0,473123.0,0,0
2019-10-08,7,76535,1203.0,1678.0,500607.0,0,0
2019-10-08,8,75685,1353.0,1684.0,510545.0,0,0
2019-10-08,9,75337,1359.0,1829.0,551742.0,0,0
2019-10-08,10,70848,1152.0,1598.0,451662.0,0,0
2019-10-08,11,68944,1158.0,1429.0,432152.0,0,0
2019-10-08,12,67567,1093.0,1352.0,384337.0,0,0
2019-10-08,13,76545,1044.0,1224.0,360855.0,0,0
2019-10-08,14,86041,934.0,1162.0,338438.0,0,0
2019-10-08,15,93883,980.0,1121.0,302417.0,0,0
2019-10-08,16,98346,922.0,1135.0,317211.0,0,0
2019-10-08,17,86111,775.0,967.0,280144.0,0,0
2019-10-08,18,63742,540.0,733.0,233678.0,0,0
2019-10-08,19,38350,344.0,512.0,181147.0,0,0
2019-10-08,20,20404,190.0,245.0,83086.0,0,0
2019-10-08,21,11662,131.0,155.0,64277.0,0,0
2019-10-08,22,7864,118.0,118.0,37981.0,0,0
2019-10-08,23,6111,49.0,71.0,29392.0,0,0
2019-10-09,0,10182,63.0,81.0,20403.0,0,0
2019-10-09,1,20195,181.0,199.0,49270.0,0,0
2019-10-09,2,34585,364.0,478.0,127867.0,0,0
2019-10-09,3,47556,719.0,975.0,280300.0,0,0
2019-10-09,4,59032,954.0,1311.0,379111.0,0,0
2019-10-09,5,67994,1116.0,1501.0,444028.0,0,0
2019-10-09,6,70139,1276.0,1672.0,474596.0,0,0
2019-10-09,7,72770,1221.0,1711.0,540592.0,0,0
2019-10-09,8,74458,1393.0,1707.0,493296.0,0,0
2019-10-09,9,73283,1416.0,1725.0,546089.0,0,0
2019-10-09,10,70825,1227.0,1619.0,515015.0,0,0
2019-10-09,11,67298,1091.0,1316.0,398839.0,0,0
2019-10-09,12,64430,1097.0,1266.0,395460.0,0,0
2019-10-09,13,69901,1078.0,1232.0,366044.0,0,0
2019-10-09,14,80066,948.0,1100.0,323978.0,0,0
2019-10-09,15,94095,973.0,1143.0,352208.0,0,0
2019-10-09,16,93002,808.0,1049.0,295614.0,0,0
2019-10-09,17,83368,698.0,868.0,253283.0,0,0
2019-10-09,18,61791,526.0,717.0,199882.0,0,0
2019-10-09,19,38131,317.0,436.0,154205.0,0,0
2019-10-09,20,21118,201.0,280.0,102075.0,0,0
2019-10-09,21,12237,82.0,153.0,67289.0,0,0
2019-10-09,22,8100,84.0,131.0,51731.0,0,0
2019-10-09,23,6758,53.0,77.0,24150.0,0,0
2019-10-10,0,10457,67.0,88.0,28060.0,0,0
2019-10-10,1,15805,165.0,145.0,42325.0,0,0
2019-10-10,2,34871,361.0,476.0,127295.0,0,0
2019-10-10,3,48579,717.0,932.0,277532.0,0,0
2019-10-10,4,58782,978.0,1230.0,343338.0,0,0
2019-10-10,5,61415,1120.0,1413.0,430204.0,0,0
2019-10-10,6,63118,1255.0,1532.0,449543.0,0,0
2019-10-10,7,64167,1311.0,1617.0,490764.0,0,0
2019-10-10,8,65852,1309.0,1635.0,486600.0,0,0
2019-10-10,9,63671,1321.0,1465.0,430780.0,0,0
2019-10-10,10,60069,1208.0,1446.0,462344.0,0,0
2019-10-10,11,59251,1101.0,1274.0,408347.0,0,0
2019-10-10,12,55742,1010.0,1119.0,361010.0,0,0
2019-10-10,13,66398,1023.0,1098.0,337396.0,0,0
2019-10-10,14,79096,929.0,1095.0,337693.0,0,0
2019-10-10,15,91079,1023.0,1172.0,313856.0,0,0
2019-10-10,16,94309,863.0,1065.0,319071.0,0,0
2019-10-10,17,84589,733.0,890.0,262782.0,0,0
2019-10-10,18,66205,726.0,841.0,246012.0,0,0
2019-10-10,19,42362,410.0,587.0,200451.0,0,0
2019-10-10,20,24122,275.0,339.0,111533.0,0,0
2019-10-10,21,13752,185.0,252.0,94174.0,0,0
2019-10-10,22,9060,157.0,188.0,74907.0,0,0
2019-10-10,23,7536,89.0,93.0,29397.0,0,0
2019-10-11,0,11710,92.0,141.0,44266.0,0,0
2019-10-11,1,23268,278.0,277.0,71084.0,0,0
2019-10-11,2,36417,440.0,559.0,155207.0,0,0
2019-10-11,3,53453,874.0,1133.0,335170.0,0,0
2019-10-11,4,64434,1101.0,1535.0,442576.0,0,0
2019-10-11,5,75266,1446.0,1826.0,519563.0,0,0
2019-10-11,6,79948,1537.0,1872.0,525804.0,0,0
2019-10-11,7,77145,1670.0,1871.0,530438.0,0,0
2019-10-11,8,80833,1411.0,1829.0,568042.0,0,0
2019-10-11,9,81694,1644.0,1936.0,558234.0,0,0
2019-10-11,10,76618,1296.0,1750.0,513919.0,0,0
2019-10-11,11,74902,1241.0,1691.0,490036.0,0,0
2019-10-11,12,71868,1103.0,1378.0,421033.0,0,0
2019-10-11,13,83385,1160.0,1388.0,431884.0,0,0
2019-10-11,14,97167,1098.0,1300.0,373138.0,0,0
2019-10-11,15,101984,1057.0,1305.0,360207.0,0,0
2019-10-11,16,100682,955.0,1238.0,361193.0,0,0
2019-10-11,17,88375,787.0,1051.0,316967.0,0,0
2019-10-11,18,67669,608.0,825.0,269480.0,0,0
2019-10-11,19,42705,338.0,502.0,163176.0,0,0
2019-10-11,20,24430,231.0,358.0,111645.0,0,0
2019-10-11,21,15198,207.0,235.0,76103.0,0,0
2019-10-11,22,9202,97.0,135.0,45087.0,0,0
2019-10-11,23,6755,62.0,89.0,31957.0,0,0
2019-10-12,0,10096,112.0,114.0,56634.0,0,0
2019-10-12,1,22544,197.0,212.0,57571.0,0,0
2019-10-12,2,38624,401.0,414.0,103334.0,0,0
2019-10-12,3,53864,776.0,1024.0,267521.0,0,0
2019-10-12,4,68747,1068.0,1425.0,374930.0,0,0
2019-10-12,5,79690,1399.0,1712.0,448998.0,0,0
2019-10-12,6,81133,1309.0,1833.0,520093.0,0,0
2019-10-12,7,82198,1537.0,1952.0,565601.0,0,0
2019-10-12,8,81124,1525.0,1970.0,611645.0,0,0
2019-10-12,9,76016,1559.0,1851.0,582642.0,0,0
2019-10-12,10,75563,1422.0,1712.0,505622.0,0,0
2019-10-12,11,74015,1293.0,1625.0,461874.0,0,0
2019-10-12,12,71391,1137.0,1440.0,419029.0,0,0
2019-10-12,13,73159,1099.0,1321.0,381893.0,0,0
2019-10-12,14,82767,923.0,1195.0,330924.0,0,0
2019-10-12,15,94358,948.0,1226.0,330132.0,0,0
2019-10-12,16,98917,882.0,1125.0,293544.0,0,0
2019-10-12,17,91651,819.0,1102.0,303343.0,0,0
2019-10-12,18,67030,662.0,824.0,271936.0,0,0
2019-10-12,19,45770,380.0,517.0,169439.0,0,0
2019-10-12,20,28454,201.0,350.0,105789.0,0,0
2019-10-12,21,17421,154.0,207.0,73025.0,0,0
2019-10-12,22,10305,109.0,138.0,44746.0,0,0
2019-10-12,23,7424,86.0,84.0,27426.0,0,0
2019-10-13,0,8549,97.0,94.0,37909.0,0,0
2019-10-13,1,18038,148.0,195.0,49897.0,0,0
2019-10-13,2,35960,349.0,435.0,109980.0,0,0
2019-10-13,3,53570,652.0,868.0,273707.0,0,0
2019-10-13,4,68911,1081.0,1350.0,380480.0,0,0
2019-10-13,5,74617,1187.0,1702.0,467552.0,0,0
2019-10-13,6,78918,1382.0,1785.0,483174.0,0,0
2019-10-13,7,93813,1538.0,2074.0,559681.0,0,0
2019-10-13,8,103703,1821.0,2355.0,649295.0,0,0
2019-10-13,9,107956,1949.0,2440.0,726141.0,0,0
2019-10-13,10,108657,1964.0,2450.0,701450.0,0,0
2019-10-13,11,93337,1553.0,2070.0,557603.0,0,0
2019-10-13,12,81914,1288.0,1785.0,493544.0,0,0
2019-10-13,13,85203,1169.0,1642.0,445547.0,0,0
2019-10-13,14,91912,1017.0,1459.0,354436.0,0,0
2019-10-13,15,101664,1091.0,1466.0,414233.0,0,0
2019-10-13,16,105808,1009.0,1485.0,386937.0,0,0
2019-10-13,17,97020,885.0,1346.0,363853.0,0,0
2019-10-13,18,72433,1469.0,902.0,345881.0,0,0
2019-10-13,19,45149,1089.0,744.0,296962.0,0,0
2019-10-13,20,25697,618.0,421.0,153839.0,0,0
2019-10-13,21,15071,391.0,249.0,104113.0,0,0
2019-10-13,22,8451,226.0,144.0,60959.0,0,0
2019-10-13,23,7149,151.0,100.0,40433.0,0,0
2019-10-14,0,10305,184.0,113.0,38002.0,0,0
2019-10-14,1,19643,467.0,223.0,76869.0,0,0
2019-10-14,2,35433,972.0,587.0,181664.0,0,0
2019-10-14,3,51042,1761.0,1166.0,378996.0,0,0
2019-10-14,4,64401,2319.0,1693.0,526495.0,0,0
2019-10-14,5,68257,2527.0,1775.0,544963.0,0,0
2019-10-14,6,71932,2744.0,1765.0,569102.0,0,0
2019-10-14,7,72723,2897.0,1901.0,624283.0,0,0
2019-10-14,8,75502,3275.0,2185.0,738088.0,0,0
