date,views,carts,purchases,revenue,conv_x100,is_black_friday,ventana_corrupta
2019-10-01,1206088,16193,19305.0,6275579.0,1.601,0,0
2019-10-02,1152692,16871,19469.0,6213629.0,1.689,0,0
2019-10-03,1087314,18702,19255.0,6233783.0,1.771,0,0
2019-10-04,1344727,42654,27039.0,8623058.0,2.011,0,0
2019-10-05,1269990,34560,23492.0,7341094.0,1.85,0,0
2019-10-06,1262931,30993,22169.0,6737258.0,1.755,0,0
2019-10-07,1159190,17570,21378.0,6348189.0,1.844,0,0
2019-10-08,1323457,17952,23071.0,6819701.0,1.743,0,0
2019-10-09,1301314,17886,22747.0,6855326.0,1.748,0,0
2019-10-10,1240287,18336,21992.0,6665413.0,1.773,0,0
2019-10-11,1445108,20733,26224.0,7716209.0,1.815,0,0
2019-10-12,1432261,19998,25373.0,7307692.0,1.772,0,0
2019-10-13,1583500,24124,29561.0,8457606.0,1.867,0,0
2019-10-14,1376194,43554,28405.0,9356692.0,2.064,0,0
2019-10-15,1462337,48032,26371.0,8652872.0,1.803,0,0
2019-10-16,1443262,43929,31393.0,9747165.0,2.175,0,0
2019-10-17,1337117,39271,28317.0,9026019.0,2.118,0,0
2019-10-18,1413331,38862,25849.0,8154781.0,1.829,0,0
2019-10-19,1382328,38275,24657.0,7562479.0,1.784,0,0
2019-10-20,1443763,39374,25097.0,7515169.0,1.738,0,0
2019-10-21,1342585,35485,25165.0,7862144.0,1.874,0,0
2019-10-22,1352994,36019,25383.0,7913671.0,1.876,0,0
2019-10-23,1318329,35372,24730.0,7614085.0,1.876,0,0
2019-10-24,1252686,34590,23999.0,7470345.0,1.916,0,0
2019-10-25,1369771,35535,23883.0,7235218.0,1.744,0,0
2019-10-26,1288882,33722,22653.0,6917603.0,1.758,0,0
2019-10-27,1330167,33147,23401.0,7197521.0,1.759,0,0
2019-10-28,1220668,17193,21111.0,6591445.0,1.729,0,0
2019-10-29,1187834,16597,20372.0,6432162.0,1.715,0,0
2019-10-30,1169907,16458,20815.0,6633882.0,1.779,0,0
2019-10-31,1207793,16305,20097.0,6455422.0,1.664,0,0
2019-11-01,1402711,18349,22457.0,6949402.0,1.601,0,0
2019-11-02,1513339,18808,21863.0,6389578.0,1.445,0,0
2019-11-03,1524742,19538,22145.0,6656920.0,1.452,0,0
2019-11-04,1743267,21377,26889.0,8033900.0,1.542,0,0
2019-11-05,1670586,18800,24872.0,7248732.0,1.489,0,0
2019-11-06,1644309,19124,25319.0,7397761.0,1.54,0,0
2019-11-07,1748755,18908,24862.0,7061935.0,1.422,0,0
2019-11-08,1789772,74904,25714.0,7742040.0,1.437,0,0
2019-11-09,1783099,67815,22767.0,6646760.0,1.277,0,0
2019-11-10,1845508,69408,22878.0,6633475.0,1.24,0,0
2019-11-11,1907366,72694,24930.0,7255159.0,1.307,0,0
2019-11-12,1892680,67555,22725.0,6782115.0,1.201,0,0
2019-11-13,1920360,69208,22548.0,6812880.0,1.174,0,0
2019-11-14,2864351,165253,22124.0,6949925.0,0.772,0,1
2019-11-15,5691733,466854,0.0,0.0,0.0,0,1
2019-11-16,5986159,391713,68247.0,23442970.0,1.14,0,1
2019-11-17,5759585,410942,185195.0,57774482.0,3.215,0,1
2019-11-18,1905311,80605,28537.0,8251008.0,1.498,0,0
2019-11-19,1627620,70163,24967.0,7291408.0,1.534,0,0
2019-11-20,1598499,69718,24947.0,7089210.0,1.561,0,0
2019-11-21,1573037,72335,25266.0,6970110.0,1.606,0,0
2019-11-22,1471187,67852,24187.0,6990846.0,1.644,0,0
2019-11-23,1474094,62644,22242.0,6339090.0,1.509,0,0
2019-11-24,1499960,65827,23163.0,6470751.0,1.544,0,0
2019-11-25,1496076,68910,24827.0,7053767.0,1.659,0,0
2019-11-26,1557222,69615,24226.0,6893393.0,1.556,0,0
2019-11-27,1547167,69116,24443.0,7161341.0,1.58,0,0
2019-11-28,1560161,69354,24305.0,7163832.0,1.558,0,0
2019-11-29,1727811,88783,32107.0,9635318.0,1.858,1,0
2019-11-30,1644367,79527,28178.0,8104972.0,1.714,0,0
