date,macro_category,views,carts,purchases,revenue,is_black_friday,ventana_corrupta
2019-10-01,Unknown,395206,1493.0,4109.0,585650.0,0,0
2019-10-01,accessories,7297,8.0,45.0,2259.0,0,0
2019-10-01,apparel,38272,0.0,170.0,13198.0,0,0
2019-10-01,appliances,136204,549.0,1953.0,308791.0,0,0
2019-10-01,auto,30904,159.0,226.0,25754.0,0,0
2019-10-01,computers,68889,157.0,804.0,350519.0,0,0
2019-10-01,construction,23369,138.0,233.0,24768.0,0,0
2019-10-01,country_yard,654,1.0,4.0,584.0,0,0
2019-10-01,electronics,451581,13639.0,11369.0,4896445.0,0,0
2019-10-01,furniture,32875,19.0,204.0,39953.0,0,0
2019-10-01,kids,14922,29.0,145.0,19852.0,0,0
2019-10-01,medicine,437,0.0,11.0,486.0,0,0
2019-10-01,sport,5270,0.0,28.0,7284.0,0,0
2019-10-01,stationery,208,1.0,4.0,37.0,0,0
2019-10-02,Unknown,365598,1388.0,4063.0,569854.0,0,0
2019-10-02,accessories,7224,4.0,43.0,1513.0,0,0
2019-10-02,apparel,33164,0.0,159.0,14362.0,0,0
2019-10-02,appliances,134846,667.0,1910.0,307598.0,0,0
2019-10-02,auto,27929,159.0,214.0,23949.0,0,0
2019-10-02,computers,65781,221.0,722.0,304523.0,0,0
2019-10-02,construction,22407,215.0,243.0,26063.0,0,0
2019-10-02,country_yard,493,0.0,3.0,929.0,0,0
2019-10-02,electronics,446359,14162.0,11664.0,4893218.0,0,0
2019-10-02,furniture,28366,13.0,205.0,38129.0,0,0
2019-10-02,kids,14910,39.0,207.0,24061.0,0,0
2019-10-02,medicine,316,0.0,11.0,453.0,0,0
2019-10-02,sport,5069,3.0,24.0,8971.0,0,0
2019-10-02,stationery,230,0.0,1.0,5.0,0,0
2019-10-03,Unknown,337438,1559.0,4142.0,610165.0,0,0
2019-10-03,accessories,5727,4.0,44.0,1690.0,0,0
2019-10-03,apparel,27951,0.0,127.0,11454.0,0,0
2019-10-03,appliances,125317,716.0,1781.0,311781.0,0,0
2019-10-03,auto,27458,211.0,227.0,24777.0,0,0
2019-10-03,computers,63835,285.0,742.0,318385.0,0,0
2019-10-03,construction,19768,128.0,189.0,25570.0,0,0
2019-10-03,country_yard,410,16.0,4.0,555.0,0,0
2019-10-03,electronics,433172,15750.0,11618.0,4861579.0,0,0
2019-10-03,furniture,26215,10.0,175.0,35659.0,0,0
2019-10-03,kids,14516,22.0,161.0,21026.0,0,0
2019-10-03,medicine,264,0.0,10.0,426.0,0,0
2019-10-03,sport,5095,0.0,33.0,10632.0,0,0
2019-10-03,stationery,148,1.0,2.0,82.0,0,0
2019-10-04,Unknown,415349,4190.0,5931.0,789264.0,0,0
2019-10-04,accessories,5955,23.0,37.0,1551.0,0,0
2019-10-04,apparel,27348,0.0,130.0,10079.0,0,0
2019-10-04,appliances,178954,3911.0,2901.0,548284.0,0,0
2019-10-04,auto,50671,505.0,641.0,73194.0,0,0
2019-10-04,computers,81846,2190.0,1144.0,508589.0,0,0
2019-10-04,construction,19659,185.0,205.0,25078.0,0,0
2019-10-04,country_yard,381,2.0,2.0,249.0,0,0
2019-10-04,electronics,517661,31530.0,15612.0,6588859.0,0,0
2019-10-04,furniture,25722,10.0,191.0,36762.0,0,0
2019-10-04,kids,15209,83.0,199.0,28920.0,0,0
2019-10-04,medicine,319,0.0,5.0,251.0,0,0
2019-10-04,sport,5538,23.0,41.0,11978.0,0,0
2019-10-04,stationery,115,2.0,0.0,0.0,0,0
2019-10-05,Unknown,409249,3397.0,5322.0,715161.0,0,0
2019-10-05,accessories,6174,29.0,25.0,1001.0,0,0
2019-10-05,apparel,29102,0.0,143.0,11767.0,0,0
2019-10-05,appliances,159252,2923.0,2477.0,468744.0,0,0
2019-10-05,auto,46523,460.0,506.0,59209.0,0,0
2019-10-05,computers,75663,1801.0,995.0,413413.0,0,0
2019-10-05,construction,18194,160.0,174.0,21616.0,0,0
2019-10-05,country_yard,438,0.0,2.0,638.0,0,0
2019-10-05,electronics,474860,25672.0,13416.0,5583041.0,0,0
2019-10-05,furniture,29706,21.0,202.0,38706.0,0,0
2019-10-05,kids,14520,68.0,187.0,17362.0,0,0
2019-10-05,medicine,260,0.0,3.0,144.0,0,0
2019-10-05,sport,5872,28.0,38.0,10262.0,0,0
2019-10-05,stationery,177,1.0,2.0,31.0,0,0
2019-10-06,Unknown,410493,2791.0,4985.0,681414.0,0,0
2019-10-06,accessories,6821,18.0,40.0,1691.0,0,0
2019-10-06,apparel,28656,0.0,111.0,8894.0,0,0
2019-10-06,appliances,159212,2608.0,2460.0,454387.0,0,0
2019-10-06,auto,40647,307.0,428.0,49357.0,0,0
2019-10-06,computers,73394,1368.0,840.0,352525.0,0,0
2019-10-06,construction,19302,179.0,202.0,21016.0,0,0
2019-10-06,country_yard,532,0.0,7.0,2438.0,0,0
2019-10-06,electronics,472977,23587.0,12671.0,5083043.0,0,0
2019-10-06,furniture,30078,25.0,205.0,47919.0,0,0
2019-10-06,kids,14632,91.0,164.0,21742.0,0,0
2019-10-06,medicine,306,0.0,10.0,409.0,0,0
2019-10-06,sport,5622,13.0,39.0,12356.0,0,0
2019-10-06,stationery,259,6.0,7.0,67.0,0,0
2019-10-07,Unknown,394880,1758.0,5343.0,716216.0,0,0
2019-10-07,accessories,6235,5.0,48.0,1635.0,0,0
2019-10-07,apparel,27868,0.0,151.0,12649.0,0,0
2019-10-07,appliances,128334,641.0,2013.0,347828.0,0,0
2019-10-07,auto,40570,289.0,467.0,54113.0,0,0
2019-10-07,computers,65616,260.0,814.0,319853.0,0,0
2019-10-07,construction,19727,153.0,191.0,22546.0,0,0
2019-10-07,country_yard,458,0.0,1.0,79.0,0,0
2019-10-07,electronics,427820,14397.0,11982.0,4805633.0,0,0
2019-10-07,furniture,27737,39.0,182.0,41078.0,0,0
2019-10-07,kids,14413,24.0,143.0,16682.0,0,0
2019-10-07,medicine,250,4.0,7.0,296.0,0,0
2019-10-07,sport,5124,0.0,36.0,9581.0,0,0
2019-10-07,stationery,158,0.0,0.0,0.0,0,0
2019-10-08,Unknown,499871,1878.0,6384.0,806742.0,0,0
2019-10-08,accessories,7976,11.0,47.0,1903.0,0,0
2019-10-08,apparel,35710,0.0,147.0,12379.0,0,0
2019-10-08,appliances,134395,713.0,2025.0,343854.0,0,0
2019-10-08,auto,62626,383.0,620.0,72968.0,0,0
2019-10-08,computers,66342,222.0,825.0,309039.0,0,0
2019-10-08,construction,21047,159.0,210.0,26422.0,0,0
2019-10-08,country_yard,568,0.0,3.0,340.0,0,0
2019-10-08,electronics,442903,14515.0,12410.0,5175072.0,0,0
2019-10-08,furniture,30166,24.0,200.0,40381.0,0,0
2019-10-08,kids,15532,42.0,144.0,18014.0,0,0
2019-10-08,medicine,268,2.0,5.0,225.0,0,0
2019-10-08,sport,5834,2.0,48.0,12317.0,0,0
2019-10-08,stationery,219,1.0,3.0,47.0,0,0
2019-10-09,Unknown,477007,1796.0,6206.0,785336.0,0,0
2019-10-09,accessories,7662,12.0,51.0,1729.0,0,0
2019-10-09,apparel,39246,0.0,177.0,14672.0,0,0
2019-10-09,appliances,133062,793.0,1914.0,339831.0,0,0
2019-10-09,auto,52329,390.0,574.0,69400.0,0,0
2019-10-09,computers,68962,268.0,772.0,290423.0,0,0
2019-10-09,construction,21595,144.0,230.0,34072.0,0,0
2019-10-09,country_yard,559,0.0,1.0,242.0,0,0
2019-10-09,electronics,449186,14397.0,12402.0,5247160.0,0,0
2019-10-09,furniture,30271,45.0,218.0,38706.0,0,0
2019-10-09,kids,15277,36.0,149.0,19035.0,0,0
2019-10-09,medicine,277,3.0,2.0,81.0,0,0
2019-10-09,sport,5580,0.0,44.0,14600.0,0,0
2019-10-09,stationery,301,2.0,7.0,38.0,0,0
2019-10-10,Unknown,426270,1827.0,5771.0,751789.0,0,0
2019-10-10,accessories,8249,2.0,57.0,1969.0,0,0
2019-10-10,apparel,35787,0.0,212.0,15503.0,0,0
2019-10-10,appliances,138641,723.0,1902.0,351771.0,0,0
2019-10-10,auto,38044,260.0,413.0,46550.0,0,0
2019-10-10,computers,66784,224.0,743.0,302091.0,0,0
2019-10-10,construction,20028,137.0,206.0,28053.0,0,0
2019-10-10,country_yard,437,0.0,5.0,1084.0,0,0
